Name,RepoUrl,Subfolder,RequirementsFile
ComfyUI-Manager,https://github.com/ltdrdata/ComfyUI-Manager.git,,
ComfyUI-Crystools,https://github.com/crystian/ComfyUI-Crystools.git,,requirements.txt
